no,raw_tweet,clean_tweets,sentiment_label,,,Kolum,Deskripsi,
197,@willprasss Btw i'm not man enough deng yg terakhir wkwk,"['@willprasss btw aku tidak cukup jantan deng yang terakhir wkwk', '@willprasss btw aku tidak cukup jantan deng yang terakhir wkwk']",isi ini,,,,,
198,"Seperti udah gak nyaman dan percaya aja sama dunia percintaan. Temen kantor curhat aja udah gak ada feel buat jawab dan kasih solusi. Yaelah mba, you tell me the wrong story,  I'm a philophobic and never meet someone who had the same feeling (not yet).","['seperti sudah tidak nyaman dan percaya saja sama dunia percintaan. temaen kantor curhat saja sudah tidak ada keinginan buat jawab dan kasih solusi. yaelah mbak, kamu menceritakan cerita yang salah kepada saya, saya seorang filofob dan tidak pernah bertemu seseorang yang memiliki perasaan yang sama (belum).', 'seperti sudah tidak nyaman dan percaya saja sama dunia percintaan. teman kantor curhat saja sudah tidak ada keinginan buat jawab dan kasih solusi. yaelah mbak, kamu menceritakan cerita yang salah kepada saya, saya seorang filofob dan tidak pernah bertemu seseorang yang memiliki perasaan yang sama (belum).']",isi ini,,,,,
199,"Tahun lalu, i recommend one of my client to put their ads on MRT (station or the train itself). Tak ada yg percaya, not even my boss. Dan liat siapa skrg yg udh pasang billboard segede gaban di station MRT. Masa trial MRT, orang foto2 dgn latar belakang pilar itu. Ck","['tahun lalu, saya sarankan salah satu klien saya untuk menaruh iklan mereka di mrt (stasiun atau kereta itu sendiri). tak ada yang percaya, bahkan bos saya. dan lihat siapa sekarang yang sudah pasang papan iklan sebesar gaban di stasiun mrt. masa percobaan mrt, orang foto-foto dengan latar belakang pilar itu. ck', 'tahun lalu, saya sarankan salah satu klien saya untuk menaruh iklan mereka di mrt (stasiun atau kereta itu sendiri). tak ada yang percaya, bahkan bos saya. dan lihat siapa sekarang yang sudah pasang papan iklan sebesar gaban di stasiun mrt. masa percobaan mrt, orang foto-foto dengan latar belakang pilar itu. ck']",isi ini,,,,,
200,"@psithuirsm @YaoiSociety || nih saya muncul, coba kenalannya sama yg ini. Gampang akrab tapi jangan harap sikap yg manis dan cute gitu ya because I can not  https://t.co/vOkAH4FWn3","['@psithuirsm @YaoiSociety | nih saya muncul, coba kenalannya sama yang ini. gampang akrab tapi jangan harap sikap yang manis dan imut gitu ya karena saya tidak bisa  https://t.co/vOkAH4FWn3', '@psithuirsm @YaoiSociety | nih saya muncul, coba kenalannya sama yang ini. gampang akrab tapi jangan harap sikap yang manis dan imut gitu ya karena saya tidak kuat  https://t.co/vOkAH4FWn3']",isi ini,,,,,
201,"Setiap jumat biasanya saya posting #weekendreview #bookreview , tapi pekan ini skip dulu ya. ..Reposted from @chibi_illustrat  -  And do not say that whose is killed in the path of Allah... https://t.co/unTaaeKUUS","['setiap jumat biasanya saya posting #weekendreview #bookreview, tapi pekan ini skip dulu ya. diposting ulang dari @chibi_illustrat - dan jangan katakan bahwa siapa yang terbunuh di jalan allah. https://t.co/unTaaeKUUS', 'setiap jumat biasanya saya posting #weekendreview #bookreview, tapi pekan ini skip dulu ya. diposting ulang dari @chibi_illustrat - dan jangan katakan bahwa siapa yang terbunuh di jalan allah. https://t.co/unTaaeKUUS']",isi ini,,,,,
202,@gguweols @rlthingy NOT EVEN JESUS CAN SAVE YOU KENAPA SIH,"['@gguweols @rlthingy bahkan yesus tidak bisa menyelamatkan anda kenapa sih', '@gguweols @rlthingy bahkan yesus tidak bisa menyelamatkan anda kenapa sih']",isi ini,,,,,
203,"Kalau ditanya: emang ga cape jadi gay terus? .Laah balikin aja: emang ga bosen maen ama memek mulu? Sama aja dong..Other questions: mau nikah sama cewe ga nantinya? .Well, kalau ku menemukan seorang cewe yg bener2 one of a kind and she's the one, why not? .Jodoh ngga ada yg tau","['kalau ditanya: memang tidak lelah jadi homo melulue?. lah balikin aja: memang tidak bosan main sama memek terus? sama saja dong. pertanyaan lain: mau nikah sama cewek tidak nantinya?. baik, kalau ku menemukan seorang cewek yang benar-benar salah satu dari jenis dan dialah satu-satunya, kenapa tidak?. jodoh tidak ada yang tau', 'kalau ditanya: memang tidak lelah jadi homo terus?. lah balikin aja: memang tidak bosan main sama memek terus? sama saja dong. pertanyaan lain: mau nikah sama cewek tidak nantinya?. baik, kalau ku menemukan seorang cewek yang benar-benar salah satu dari jenis dan dialah satu-satunya, kenapa tidak?. jodoh tidak ada yang tau']",isi ini,,,,,
204,"2. Irsyad itu nyenenginnya dia nurut kalo dikasih tau, terima terima aja. Idk he will do it or not. He respect me as his older brother.","['2. irsya itu nyenenginnya dia penurut kalau dikasih tahu, terima-terima saja. idk dia akan melakukannya atau tidak. dia menghormati saya sebagai kakak laki-lakinya.', '2. irsya itu nyenenginnya dia penurut kalau dikasih tahu, terima-terima saja. idk dia akan melakukannya atau tidak. dia menghormati saya sebagai kakak laki-lakinya.']",isi ini,,,,,
205,"DO OR DO NOT.....Ko kesannya maksa banget yaa..ya iya memang, dalam dunia public speaking BERANI itu adalah KOENTJI, ambil kesempatannya ambil risikonya karena kita ga akan pernah tau... https://t.co/wKriQe8bcy","['lakukan atau tidak. kok kesannya paksa sangat ya. ya iya memang, dalam dunia berbicara di depan umum berani itu adalah kunci, ambil kesempatannya ambil risikonya karena kita tidak akan pernah tahu. https://t.co/wKriQe8bcy', 'lakukan atau tidak. kok kesannya paksa sangat ya. ya iya memang, dalam dunia berbicara di depan umum berani itu adalah kunci, ambil kesempatannya ambil risikonya karena kita tidak akan pernah tahu. https://t.co/wKriQe8bcy']",isi ini,,,,,
206,@Masuk_Ongen @aprilliaps_ @bayu_joo HAHAHAHAHAHAHA GONDES. GUE JUGA!!! YAAMPUN GONDRONG NDESO KU:(( but we're not in relationship:),"['@Masuk_Ongen @aprilliaps_ @bayu_joo hahahahahahaha gondes. saya juga! yaampun gondrong ndeso ku :(( tapi kita tidak dalam hubungan :)', '@Masuk_Ongen @aprilliaps_ @bayu_joo hahahahahahaha gondes. saya juga! yaampun gondrong ndeso ku :(( tapi kita tidak dalam hubungan :)']",isi ini,,,,,
207,@rlthingy2 aku wkwk cmn kalo dibiasain emg bahaya jd suka mikir yaudah lha gaada org yg sempurna selama kurangnya masi bisa ditolerir i try to not ilfil,"['@rlthingy2 aku wkwk hanya kalo dibiasain memang bahaya jadi suka pikir yaudah lha tidak ada orang yang sempurna selama kurangnya masih bisa ditolerir saya berusaha untuk tidak ill feel', '@rlthingy2 aku wkwk hanya kalo dibiasain memang bahaya jadi suka pikir yaudah lha tidak ada orang yang sempurna selama kurangnya masih bisa ditolerir saya berusaha untuk tidak mati rasa']",isi ini,,,,,
208,"Berbondong nyobain MRT, dari yg ""excited"" atopun mencaci ""pembangunan infrastruktur dari hutang!"" Ikut menikmati...And am going no where, sahm, trying hard to feed my Kemilau","['berbondong meconba mrt, dari yang ""antusias"" ataupun mencaci ""pembangunan infrastruktur dari hutang!"" ikut menikmati. dan aku tidak kemana-mana, sahm, berusaha keras untuk memberi makan kemilau saya', 'berbondong meconba mrt, dari yang ""antusias"" ataupun mencaci ""pembangunan infrastruktur dari hutang!"" ikut menikmati. dan aku tidak kemana-mana, sahm, berusaha keras untuk memberi makan kemilau saya']",isi ini,,,,,
209,"@noseclorum @DivHumas_Polri Yang pidioin yang di cari, yang beberkan bukti yang di cari. We do not believe!","['@noseclorum @DivHumas_Polri yang videoin yang dicari, yang beberkan bukti yang dicari. kami tidak percaya!', '@noseclorum @DivHumas_Polri yang videoin yang dicari, yang beberkan bukti yang dicari. kami tidak percaya!']",isi ini,,,,,
210,"Heran sama Sarah. Giliran ngetweet feel free to unfollow, eh malah dia baru follback","['heran sama sarah. giliran ngetweet jangan sungkan untuk berhenti mengikuti, eh malah dia baru follback', 'heran sama sarah. giliran ngetweet jangan sungkan untuk berhenti mengikuti, eh malah dia baru follback']",isi ini,,,,,
211,Haiii iyoooh long time no c @loeysfairy61 what r u doing rn ?,"['hai iyooh lama tidak bertemu @loeysfairy61 apa yang kamu kerjakan sekarang?', 'hai iyooh lama tidak bertemu @loeysfairy61 apa yang kamu kerjakan sekarang?']",isi ini,,,,,
212,Lucas Akan Tuntut Ganti Rugi Luar Biasa kepada KPK https://t.co/5j0rmaxp6E,"['lucas akan tuntut ganti rugi luar biasa kepada https://t.co/5j0rmaxp6E', 'lucas akan tuntut ganti rugi luar biasa kepada https://t.co/5j0rmaxp6E']",isi ini,,,,,
213,kesel itu when u uda ngantuk mau tidur tp tbtb laper,"['kesel itu ketika kamu sudah mengantuk mau tidur tapi tiba-tiba lapar', 'kesel itu ketika kamu sudah mengantuk mau tidur tapi tiba-tiba lapar']",isi ini,,,,,
214,"ig ada storiesnya.fb ada storiesnya.wa ada storiesnya.Sekarang twitter ada storiesnya..tinggal nunggu bca mobile ada storiesnya nih, biar bisa post sisa saldo pake backsound you raise me up","['ig ada storiesnya. fb ada storiesnya. wa ada storiesnya. sekarang twitter ada storiesnya. tinggal menunggu bca mobile ada storiesnya nih, agar bisa post sisa saldo pakai backsound you raise me up', 'ig ada storiesnya. fb ada storiesnya. wa ada storiesnya. sekarang twitter ada storiesnya. tinggal menunggu bca mobile ada storiesnya nih, agar bisa post sisa saldo pakai lagu di background you raise me up']",isi ini,,,,,
215,Kudianggap gak becus krn salah mengarahkan. Well..,"['ku dianggap tidak mampu karena salah mengarahkan. baik.', 'ku dianggap tidak mampu karena salah mengarahkan. baik.']",isi ini,,,,,
216,"Lieur aing beberapa hari ini susah ngecharge kalo ada tulisan ini, anyone yg tau gak how to fix this problem? *nb : hp gue asus zenfone max pro m1 https://t.co/tCtTv9Cpij","['lieur aing beberapa hari ini susah mengisi ulang kalau ada tulisan ini, siapa saja yang tahu tidak bagaimana cara menyelesaikan masalah ini? * nb : hp saya asus zenfone max pro m1 https://t.co/tCtTv9Cpij', 'lieur aing beberapa hari ini susah mengisi ulang kalau ada tulisan ini, siapa saja yang tahu tidak bagaimana cara menyelesaikan masalah ini? * nb : hp saya asus zenfone max pro m1 https://t.co/tCtTv9Cpij']",isi ini,,,,,
217,"Selamat Pagi! ..Memulai hari dengan mendengarkan lagu-lagu favorit dari soundtrack film Bollywood. ..These are some of Bollywood soundtracks I play on repeat on Spotify. ..Kalian punya Bollywood soundtracks favorit, tak? https://t.co/xo1gyKVQe4","['selamat pagi!. memulai hari dengan mendengarkan lagu-lagu favorit dari soundtrack film bollywood. ini adalah beberapa soundtrack bollywood yang saya mainkan berulang kali di spotify. kalian punya soundtrack bollywood favorit, tak? https://t.co/xo1gyKVQe4', 'selamat pagi!. memulai hari dengan mendengarkan lagu-lagu favorit dari soundtrack film bollywood. ini adalah beberapa soundtrack bollywood yang saya mainkan berulang kali di spotify. kalian punya soundtrack bollywood favorit, tak? https://t.co/xo1gyKVQe4']",isi ini,,,,,
218,Eaa ke impulsif an aku kambuh tbtb mau nonton captain marvel lagi,"['eaa keimpulsifan aku kambuh tiba-tiba mau tonton captain marvel lagi', 'eaa keimpulsifan aku kambuh tiba-tiba mau tonton captain marvel lagi']",isi ini,,,,,
219,@republikaonline @Sony86172074 Muke gile ente pak kyai...dl ane respect ame ente....semenjak ente masuk politik omongan ente banyak yg ngawur..ente paham isi quran n hadist tp ente ngga paham apa itu politik..istighfar lah sebelum ajal menjemput..coz we are love u as KYAI not POLITICUS.#INAelectionObserverSOS,"['@republikaonline @Sony86172074 muka gila ente pak kyai. dulu saya hormat sama ente. semenjak ente masuk politik omongan ente banyak yang asal. ente paham isi quran dan hadis tapi ente tidak paham apa itu politik. istighfar lah sebelum ajal menjemput. karena kami mencintaimu karena sebagai kyai bukan politikus. #INAelectionObserverSOS', '@republikaonline @Sony86172074 muka gila anda pak kyai. dulu saya hormat sama anda. semenjak anda masuk politik omongan anda banyak yang asal. anda paham isi quran dan hadis tapi anda tidak paham apa itu politik. istighfar lah sebelum ajal menjemput. karena kami mencintaimu karena sebagai kyai bukan politikus. #INAelectionObserverSOS']",isi ini,,,,,
220,Doi Prof loh....dan MUI bisa dapat laba ya salah satunya dari keahlian dia di ekonomi rakyat. ..not saying thinga doesn't mean he doesn't have it. https://t.co/IpSKSgecGh,"['doi prof loh. dan mui bisa dapat laba ya salah satunya dari keahlian dia di ekonomi rakyat. tidak mengatakan sesuatu tidak berarti dia tidak memilikinya. https://t.co/IpSKSgecGh', 'doi prof loh. dan mui bisa dapat laba ya salah satunya dari keahlian dia di ekonomi rakyat. tidak mengatakan sesuatu tidak berarti dia tidak memilikinya. https://t.co/IpSKSgecGh']",isi ini,,,,,
221,"Akhirnya bisa juga bikin not balok sekalian not angkanya..#udarulli #msischool #musisi #notasimusik #teorimusik #gurumusik #sekolahmusik #kursusmusik #kuliahmusik @ Jakarta, Indonesia https://t.co/L4FLyTF9bi","['akhirnya bisa juga buat not balok sekalian not angkanya..#udarulli #msischool #musisi #notasimusik #teorimusik #gurumusik #sekolahmusik #kursusmusik #kuliahmusik @ Jakarta, Indonesia https://t.co/L4FLyTF9bi', 'akhirnya bisa juga buat not balok sekalian not angkanya..#udarulli #msischool #musisi #notasimusik #teorimusik #gurumusik #sekolahmusik #kursusmusik #kuliahmusik @ Jakarta, Indonesia https://t.co/L4FLyTF9bi']",isi ini,,,,,
222,"Five feet apart itu kocak dan agak ngeselin. Sama sempet bikin mata berkaca2 juga di bbrp scene. Soundtrack nya enak bgt bgt btw. Overall, film nya bagus dan nonton nya hepi krn dpt diskon wkwk ..CUZ IM NOT GIVIN' UP, IM NOT GIVIN' UP, GIVIN' UP, NO NOT YET ...","['five feet apart itu kocak dan agak mengesalkan. sama sempat buat mata berkaca-kaca juga di beberapa adegan. soundtracknya enak sangat sangat btw. secara keseluruhan, filmnya bagus dan menonton nya senang karena dapat diskon wkwk. karena saya tidak menyerah, saya tidak menyerah, menyerah, tidak, belum.', 'five feet apart itu kocak dan agak mengesalkan. sama sempat buat mata berkaca-kaca juga di beberapa adegan. soundtrack-nya enak sangat-sangat btw. secara keseluruhan, filmnya bagus dan menontonnya senang karena dapat diskon wkwk. karena saya tidak menyerah, saya tidak menyerah, menyerah, tidak, belum.']",isi ini,,,,,
223,"@Badutromantis Ah, emang mesti luangkan waktu buat kemari lagi sambil cuti, gak buat kerjaan haha. Well noted and masuk To-do List! https://t.co/O43CDVxHAE","['@Badutromantis ah, memang mesti luangkan waktu buat kemari lagi sambil cuti, tidak buat kerjaan haha. dicatat dengan baik and masuk daftar yang harus dilakukan! https://t.co/O43CDVxHAE', '@Badutromantis ah, memang mesti luangkan waktu buat kemari lagi sambil cuti, tidak buat kerjaan haha. dicatat dengan baik and masuk daftar yang harus dilakukan! https://t.co/O43CDVxHAE']",isi ini,,,,,
224,TIX ID ini semacam nomat a.k.a nonton hemat is back but in digital way. Kmrn cuma top up 50rb buat nonton pas di Solo kepake cuma 28rb. Td iseng liat jadwal film Us dan ternyata saldo masih cukup. Lgsg sikatlah.,"['tix id ini semacam nomat a.k.a menonton hemat kembali tetapi dengan cara digital. kemarin cuma isi ulang 50 ribu buat tonton pas di solo kepake cuma 28 ribu. tadi iseng lihat jadwal film us dan ternyata saldo masih cukup. langsung sikatlah.', 'tix id ini semacam nomat a.k.a menonton hemat kembali tetapi dengan cara digital. kemarin cuma isi ulang 50 ribu buat tonton pas di solo yang terpakai cuma 28 ribu. tadi iseng lihat jadwal film us dan ternyata saldo masih cukup. langsung sikatlah.']",isi ini,,,,,
225,NOT RECOMMENDED PAKAI FIRSTMEDIA. GANGGUAN MULU WKWKWK. Kalo lagi connect sih jaringannya sat set sat set. tp gangguan seminggu bisa 3kali cuyyy. manaan lamaa 12jam lebih. giliran bayar telat sehari denda 5rb. lo bayangin tuh waktu gue yg gak bisa pake jaringan grgr gangguan.,"['tidak direkomendasikan pakai firstmedia. gangguan melulu wkwkwk. kalau lagi terhubung sih jaringannya sat set sat set. tapi gangguan seminggu bisa 3 kali cuyy. manaan lama 12 jam lebih. giliran bayar telat sehari denda 5 ribu. kamu bayangin tuh waktu saya yang tidak bisa pakai jaringan gara-gara gangguan.', 'tidak direkomendasikan pakai firstmedia. gangguan terus wkwkwk. kalau lagi terhubung sih jaringannya sat set sat set. tapi gangguan seminggu bisa 3 kali cuyy. manaan lama 12 jam lebih. giliran bayar telat sehari denda 5 ribu. kamu bayangin tuh waktu saya yang tidak bisa pakai jaringan gara-gara gangguan.']",isi ini,,,,,
226,"Search shoes, not met [Susi Anggraeni & Dede Kurniasih].https://t.co/acs4syzRI3 #RamadhanElhaq","['mencari sepatu, bukan bertemu [susi anggraeni & dede kurniasih]. https://t.co/acs4syzRI3 #RamadhanElhaq', 'mencari sepatu, bukan bertemu [susi anggraeni & dede kurniasih]. https://t.co/acs4syzRI3 #RamadhanElhaq']",isi ini,,,,,
227,"Apa yang membuat kamu harus punya sosmed?  Waw, its been a long time im not using this app  btw, cuma mau liat liat info sekitar aja kok https://t.co/PwLJqSjaw0","['apa yang membuat kamu harus punya sosmed? waw, sudah lama saya tidak menggunakan aplikasi ini btw, cuma mau lihat-lihat info sekitar saja kok https://t.co/PwLJqSjaw0', 'apa yang membuat kamu harus mempunyai media sosial? waw, sudah lama saya tidak menggunakan aplikasi ini btw, cuma mau lihat-lihat info sekitar saja kok https://t.co/PwLJqSjaw0']",isi ini,,,,,
228,"Bila student cakap ikat perut, masalah duit bayar bilik end up berkongsi 10 orang 1 rumah ni, acknowledged lah issue ni. Not shoving your thoughts duit ptptn beli iPhone, makan mewah sana sini. They're out there and needed help.","['bila murid cakap ikat perut, masalah duit bayar bilik berakhir berkongsi 10 orang 1 rumah ni, diakui lah masalah ni. tidak mendorong pikiran kamu duit ptptn beli iphone, makan mewah sana sini. mereka di luar sana dan butuh bantuan.', 'bila murid cakap ikat perut, masalah duit bayar bilik berakhir berkongsi 10 orang 1 rumah ni, diakui lah masalah ini. tidak mendorong pikiran kamu duit ptptn beli iphone, makan mewah sana sini. mereka di luar sana dan butuh bantuan.']",isi ini,,,,,
229,"Ada selebgram (actually not really sure about she's a celeb or not, but isi feed penuh ngiklan baju)..dia pamer di IG story video, lagi buru-buru, nyetir lewat jalur busway, sementara kelihatan di jalur biasa lagi pada antri macet...Sadar ga ya kalo otaknya ketinggalan?","['ada selebgram (sebenarnya tidak terlalu yakin tentang dia seorang selebriti atau bukan, tapi isi feed penuh iklan baju). dia pamer di ig story video, lagi buru-buru, nyetir lewat jalur busway, sementara kelihatan di jalur biasa lagi pada antri macet. sadar tidak ya kalau otaknya ketinggalan?', 'ada selebgram (sebenarnya tidak terlalu yakin tentang dia seorang selebriti atau bukan, tapi isi feed penuh iklan baju). dia pamer di ig story video, lagi buru-buru, nyetir lewat jalur busway, sementara kelihatan di jalur biasa lagi pada antri macet. sadar tidak ya kalau otaknya ketinggalan?']",isi ini,,,,,
230,"@talithxa Iya, nih. Mukanya not impressed https://t.co/827TF1HaE6","['@talithxa iya, nih. mukanya tidak terkesan https://t.co/827TF1HaE6', '@talithxa iya, nih. mukanya tidak terkesan https://t.co/827TF1HaE6']",isi ini,,,,,
231,"Subhanallah. A real (hu)man, a real muslim. Able to forgive, not to hate back. Something that we all.must learn: forgivenes... ..Suami Korban Teroris Selandia Baru Maafkan Pembunuh Istrinya https://t.co/wZXtjOiSl3","['subhanallah. manusia sejati, muslim sejati. dapat memaafkan, bukan membenci kembali. sesuatu yang kita semua. harus perlajari: forgiveness. suami korban teroris selandia baru maafkan pembunuh istrinya https://t.co/wZXtjOiSl3', 'subhanallah. manusia sejati, muslim sejati. dapat memaafkan, bukan membenci kembali. sesuatu yang kita semua. harus pelajari: pengampunan. suami korban teroris selandia baru memaafkan pembunuh istrinya https://t.co/wZXtjOiSl3']",isi ini,,,,,
232,"https://t.co/JzV7fueNDN..Kebal hukum... not fair,.. bisa kah hal ini di sebut dengan kezaliman? wallahu a'lam bishawab... ..#DoakanPrabowoSandi https://t.co/JzV7fueNDN","[""https://t.co/JzV7fueNDN. kebal hukum. tidak adil,. bisa kah hal ini disebut dengan kezaliman? wallahu a'lam bishawab. #DoakanPrabowoSandi https://t.co/JzV7fueNDN"", ""https://t.co/JzV7fueNDN. kebal hukum. tidak adil,. bisa kah hal ini disebut dengan kezaliman? wallahu a'lam bishawab. #DoakanPrabowoSandi https://t.co/JzV7fueNDN""]",isi ini,,,,,
233,"Tulisan yg sangat memalukan (lagi). .1. Kewajiban manusia adalah melindungi sesama manusi.  Siapapun dia.  .2. Respect is earned not given or even forced.  .Tanpa diminta atau dipaksa,  anda akan dihormati orang lain juka memang anda pantas dihormati. https://t.co/XijijpSzA4","['tulisan yang sangat memalukan (lagi). 1. kewajiban manusia adalah melindungi sesama manusia. siapapun dia. 2. hormat diperoleh tanpa diberikan bahkan dipaksakan. tanpa diminta atau dipaksa, anda akan dihormati orang lain juga memang anda pantas dihormati. https://t.co/XijijpSzA4', 'tulisan yang sangat memalukan (lagi). 1. kewajiban manusia adalah melindungi sesama manusia. siapapun dia. 2. hormat diperoleh tanpa diberikan bahkan dipaksakan. tanpa diminta atau dipaksa, anda akan dihormati orang lain juga memang anda pantas dihormati. https://t.co/XijijpSzA4']",isi ini,,,,,
234,"@Elina_Vay Ini wajah islam sesungguhnya. Aku bangga  We are not taught to keep hatred, we are not taught to take vengeance.","['@Elina_Vay ini wajah islam sesungguhnya. aku bangga  kita tidak diajarkan untuk tetap membenci, kita tidak diajarkan untuk membalas dendam.', '@Elina_Vay ini wajah islam sesungguhnya. aku bangga  kita tidak diajarkan untuk tetap membenci, kita tidak diajarkan untuk membalas dendam.']",isi ini,,,,,
235,"not to mention, pernah ada masa di mana tiap pagi sarapan w adalah martabak tahu dihancurin pake boncabe level 30+lada. (kalau yang ini, andai balik ke puri imperium gue tetep bakal khilaf sih keknya)","['apalagi, pernah ada masa di mana tiap pagi sarapan saya adalah martabak tahu dihancurin pakai boncabe level 30 + lada. (kalau yang ini, andai balik ke puri imperium saya tetap bakal khilaf sih sepertinya)', 'apalagi, pernah ada masa di mana tiap pagi sarapan saya adalah martabak tahu dihancurin pakai boncabe level 30 + lada. (kalau yang ini, andai balik ke puri imperium saya tetap bakal khilaf sih kayaknya)']",isi ini,,,,,
236,"Anjirlah ini data udah gua cut dari 19 juta ++ point, jadi cuma 6 juta dan gua bagi jadi per 1 juta,.Masih aja not responding CAD","['anjirlah ini data sidah saya potong dari 19 juta + titik, jadi cuma 6 juta dan saya bagi jadi per 1 juta,. masih saja tidak merespon cad', 'anjirlah ini data sudah saya potong dari 19 juta + poin, jadi cuma 6 juta dan saya bagi jadi per 1 juta,. masih saja tidak merespon cacat']",isi ini,,,,,
237,"@arieparikesit Buat first time visitor buat gw, harusnya disediain disclaimer, not suitable for toddlers and the elderlies, secara panas banget dan tentunya tempat duduk terbatas, kasian kmrn liat mereka. Pakai sunscreen juga perlu","['@arieparikesit buat pengunjung pertama buat saya, harusnya disediakan penolakan, tidak cocok untuk balita dan orang tua, secara panas sangat dan tentunya tempat duduk terbatas, kasihan kemarin lihat mereka. pakai tabir surya juga perlu', '@arieparikesit buat pengunjung pertama buat saya, harusnya disediakan penolakan, tidak cocok untuk balita dan orang tua, secara panas sangat dan tentunya tempat duduk terbatas, kasihan kemarin lihat mereka. pakai tabir surya juga perlu']",isi ini,,,,,
238,"HATRED DOES NOT CEASE BY HATRED, BUT ONLY BY LOVE; THIS IS THE ETERNAL RULE  BUDDHA (Kebencian tidak akan berhenti dengan kebencian lagi; hanya dengan cinta; ini adalah aturan yang abadi)","['kebencian tidak berhenti dengan kebencian, tapi hanya dengan cinta; ini adalah aturan kekal buddha (kebencian tidak akan berhenti dengan kebencian lagi; hanya dengan cinta; ini adalah aturan yang abadi)', 'kebencian tidak berhenti dengan kebencian, tapi hanya dengan cinta; ini adalah aturan kekal buddha (kebencian tidak akan berhenti dengan kebencian lagi; hanya dengan cinta; ini adalah aturan yang abadi)']",isi ini,,,,,
239,It is not a mountain we conquer but ourselves  Edmund Hillary..Pic by  ikkafatma17 ..Terimakasih sudah join #tripbromo  bersama @ranijourney ..Tag @ranijourney dan gunakan... https://t.co/yuyPF09mRN,"['bukan gunung yang kita taklukan melainkan diri kita sendiri edmund hillary. gambar oleh ikkafatma17. terima kasih sudah join #tripbromo bersama @ranijourney. tandai @ranijourney dan gunakan. https://t.co/yuyPF09mRN', 'bukan gunung yang kita taklukan melainkan diri kita sendiri edmund hillary. gambar oleh ikkafatma17. terima kasih sudah join #tripbromo bersama @ranijourney. tandai @ranijourney dan gunakan. https://t.co/yuyPF09mRN']",isi ini,,,,,
240,"@lembaranfiksi ""Lho sejak kapan sakit? Yaah vampirnya gagal keren deh. Nava juga tepar udah 3 hari ini, tapi nggak sampe dirawat kaya kakak. Get well soon kaak!""","['@lembaranfiksi ""lho sejak kapan sakit? yah vampirnya gagal keren deh. nava juga tepar sudah 3 hari ini, tapi tidak sampai dirawat kaya kakak. cepat sembuh kak!""', '@lembaranfiksi ""lho sejak kapan sakit? yah vampirnya gagal keren deh. nava juga tepar sudah 3 hari ini, tapi tidak sampai dirawat kaya kakak. cepat sembuh kak!""']",isi ini,,,,,
241,"@oktafianipina All is well Pin, cerita aja semua yang mau diceritain... insyAllah jadi renungan buat yg baca juga..Ngomongin esensi hidup dan merenungin semua hal, kayanya lumrah bgt gak sih diumur2 kita skrg ini? Hug","['@oktafianipina semua baik-baik saja pin, cerita saja semua yang mau diceritakan. insyallah jadi renungan buat yang baca juga. mengomongkan esensi hidup dan merenungi semua hal, sepertinya lumrah sangat tidak sih diumur-umur kita sekarang ini? peluk', '@oktafianipina semua baik-baik saja pin, cerita saja semua yang mau diceritakan. insyallah jadi renungan buat yang baca juga. membicarakan esensi hidup dan merenungi semua hal, sepertinya lumrah sangat tidak sih diumur-umur kita sekarang ini? peluk']",isi ini,,,,,
242,Pengangguran kek w can't relate bbsgddd,"['pengangguran seperti saya tidak mengerti bangsat', 'pengangguran seperti saya tidak mengerti bangsat']",isi ini,,,,,
243,"Chatime australia nyetel lagunya stray kids, coba chatime di indo dong https://t.co/OnsVIEOPtk","['chatime australia setel lagunya stray kids, coba chatime di indonesia dong https://t.co/OnsVIEOPtk', 'chatime australia setel lagunya stray kids, coba chatime di indonesia dong https://t.co/OnsVIEOPtk']",isi ini,,,,,
244,Deforestasi dan Ancaman Konflik Agraria Meluas di Papua https://t.co/y582V3U5L5 #SuaraPusaka #berita,"['deforestasi dan ancaman konflik agraria meluas di papua https://t.co/y582V3U5L5 #SuaraPusaka #berita', 'deforestasi dan ancaman konflik agraria meluas di papua https://t.co/y582V3U5L5 #SuaraPusaka #berita']",isi ini,,,,,
245,ready bos AM uk. 30x40 dan jam uk.40x40,"['siap bos am uk. 30x40 dan jam uk.40x40', 'siap bos am uk. 30x40 dan jam uk.40x40']",isi ini,,,,,
246,Subhanallahh.. Signal telkomsel bikin gemesssss... Tiap mlm pasti ngadat  Yoo weslah tak tinggal turu wae  Good Night all,"['subhanallahh. sinyal telkomsel buat gemas. tiap malam pasti macet yooweslah tak tinggal turu wae selamat malam semua', 'subhanallahh. sinyal telkomsel bikin gemas. tiap malam pasti macet yooweslah saya tinggal turu wae selamat malam semua']",isi ini,,,,,
247,Jual MacBook Air MD760 Mid 2013 Murah https://t.co/yk7FXLCPrW,"['jual macBook air md760 mid 2013 murah https://t.co/yk7FXLCPrW', 'jual macBook air md760 mid 2013 murah https://t.co/yk7FXLCPrW']",isi ini,,,,,
248,Nikmati Promo of The Week booking hotel murah di Indonesia  diskon s.d 67% https://t.co/6pjtSxQcgS..#PromoHotel #HotelMurah #Liburan #Hotel,"['nikmati promo minggu ini pesan hotel murah di indonesia diskon s.d 67% https://t.co/6pjtSxQcgS..#PromoHotel #HotelMurah #Liburan #Hotel', 'nikmati promo minggu ini pesan hotel murah di indonesia diskon s.d 67% https://t.co/6pjtSxQcgS..#PromoHotel #HotelMurah #Liburan #Hotel']",isi ini,,,,,
